filter,sl_atr,rr,period,trades,wr,pf,ev,ev_comm,ev_stress,total,maxdd,positive_years,years
NONE,1.75,0.4,FULL_2012_2026,637,0.6436420722135008,0.7337720705154579,-0.09341074870520333,-0.11360875293014666,-0.12370775504261838,-59.50264692521452,61.30264692521478,4,15
NONE,1.75,0.5,TRAIN_2012_2021,440,0.6068181818181818,0.7832072478851201,-0.08398401829461066,-0.10352220461074783,-0.11329129776881644,-36.952968049628694,43.952968049628694,1,10
NONE,1.75,0.5,OOS_2022_2026,197,0.583756345177665,0.7200110962124517,-0.11268616177003046,-0.13435787096895727,-0.14519372556842067,-22.199173868696,25.48666854265091,2,5
NONE,1.75,0.5,YTD_2026,28,0.5,0.5,-0.25,-0.2730134207356368,-0.2845201311034552,-7.0,7.0,0,1
NONE,1.75,0.5,FULL_2012_2026,637,0.5996860282574569,0.7631440352423657,-0.0928605053662868,-0.11305850959123018,-0.12315751170370189,-59.152141918324695,61.65214191832469,3,15
NONE,1.75,0.6,TRAIN_2012_2021,440,0.5659090909090909,0.7927707456464989,-0.08875674556733797,-0.10829493188347512,-0.11806402504154369,-39.0529680496287,45.463432920768035,4,10
NONE,1.75,0.6,OOS_2022_2026,197,0.5126903553299492,0.6505668493082637,-0.16382664324176247,-0.1854983524406893,-0.1963342070401527,-32.27384871862721,35.46134339258207,1,5
NONE,1.75,0.6,YTD_2026,28,0.35714285714285715,0.33333333333333326,-0.42857142857142855,-0.4515848493070654,-0.4630915596748838,-12.0,12.000000000000002,0,1
NONE,1.75,0.6,FULL_2012_2026,637,0.5494505494505495,0.7459993754493559,-0.11197302475393392,-0.13217102897887728,-0.14227003109134898,-71.32681676825591,74.13728163939514,5,15
NONE,1.75,0.75,TRAIN_2012_2021,440,0.5181818181818182,0.8071836472450384,-0.09178626675688838,-0.11132445307302553,-0.12109354623109411,-40.385957373030884,53.50840731453662,2,10
NONE,1.75,0.75,OOS_2022_2026,197,0.48223350253807107,0.7105069432626537,-0.14454165062624064,-0.16621335982516744,-0.17704921442463087,-28.474705173369408,31.512199847324318,1,5
NONE,1.75,0.75,YTD_2026,28,0.35714285714285715,0.4166666666666667,-0.375,-0.3980134207356367,-0.4095201311034552,-10.5,10.5,0,1
NONE,1.75,0.75,FULL_2012_2026,637,0.5070643642072213,0.7762909955621591,-0.1081015110618529,-0.12829951528679628,-0.13839851739926798,-68.86066254640029,79.23311248790601,3,15
NONE,1.75,1.0,TRAIN_2012_2021,440,0.45454545454545453,0.8311226434276286,-0.0905672827132215,-0.11010546902935865,-0.11987456218742726,-39.84960439381746,60.97205433532319,4,10
