slot,family,sl,rr,n_train,evc_train,evs_train,n_oos,evc_oos,evs_oos,n_2026,evc_2026,evs_2026,n_full,evc_full,evs_full,pf_full,days_full,robust_score,freq_score
LON_H1,DI_CONT_A20_G10,2.25,1.0,118,0.01824238815910005,0.011699481012859643,51,0.07835321116173853,0.07090595751924088,6,0.21742700954788105,0.20953722079321527,169,0.03638234066285485,0.029566524218927345,1.1231422152985695,169,0.23715104606830067,12.255755230341503
LON_H1,DI_CONT_A20_G10,2.0,0.4,118,0.017439232741104423,0.010078462201583921,51,0.13618485577496847,0.12780669542715856,6,0.1489146419686687,0.14003862961966967,169,0.053273710698069306,0.04560591719865082,1.2972101548287645,169,0.2267100256343575,12.203550128171788
LON_H1,DI_CONT_A20_G10,2.25,0.75,118,0.013685659445239003,0.007142752298998571,51,0.16400713424575156,0.15655988060325382,6,0.1508870891573351,0.14299730040266934,169,0.05904894474006824,0.052233128296140685,1.2032394595855778,169,0.17791357278810704,11.959567863940535
LON_OPEN,DI_CONT_A20_G10,2.25,1.0,70,0.07230564904864097,0.06479970115036691,26,0.5263195404570632,0.5186672409340054,5,0.31901019238654177,0.31146681322415104,96,0.19526774463842198,0.18772215984176902,1.6022831586955362,96,0.7084477827597052,11.422238913798527
LON_OPEN,FALL_CONT_G10,2.25,1.0,70,0.07230564904864097,0.06479970115036691,26,0.5263195404570632,0.5186672409340054,5,0.31901019238654177,0.31146681322415104,96,0.19526774463842198,0.18772215984176902,1.6022831586955362,96,0.7084477827597052,11.422238913798527
LON_H1,DI_CONT_A20_G10,2.5,0.6,118,0.00483332060411571,-0.0010552958275006823,51,0.2303575747590608,0.22365504648081289,6,0.0638307942916375,0.05672998441243828,169,0.07289093576330032,0.06675670096376554,1.2899144183108058,169,0.06283316785350423,11.38416583926752
LON_H1,DI_CONT_A20_G10,2.5,0.75,118,0.004683139141349887,-0.001205477290266504,51,0.16065334115343052,0.1539508128751826,6,0.12967814197711347,0.12257733209791427,169,0.05175106992606062,0.04561683512652584,1.183347707656571,169,0.06088080883754853,11.374404044187743
LON_H1,DI_CONT_A20_G10,3.0,0.75,118,0.0009072613439833589,-0.00399991901569702,51,0.09280812314175414,0.08722268290988087,6,0.18599126530767118,0.18007392374167183,169,0.028640657507807667,0.023528795174861998,1.1252063658514588,169,0.011794397471783666,11.128971987358918
LON_OPEN,DI_CONT_A20_G10,2.0,1.0,70,0.04046799204393176,0.0320238006583734,26,0.42367504656222715,0.41506620959878704,5,0.1830273968846208,0.1745410953269312,96,0.14425323597597015,0.13576445307973542,1.4145564204470666,96,0.3965037256905684,9.862518628452841
LON_OPEN,FALL_CONT_G10,2.0,1.0,70,0.04046799204393176,0.0320238006583734,26,0.42367504656222715,0.41506620959878704,5,0.1830273968846208,0.1745410953269312,96,0.14425323597597015,0.13576445307973542,1.4145564204470666,96,0.3965037256905684,9.862518628452841
LON_OPEN,DI_CONT_A20_G10,2.25,0.4,70,0.03953463785346209,0.032028689955188004,26,0.11546463172311502,0.10781233220005723,5,0.1049132416752185,0.09736986251282775,96,0.060099011193159774,0.05255342639650675,1.3281026070682143,96,0.38735875962681177,9.816793798134059
LON_OPEN,FALL_CONT_G10,2.25,0.4,70,0.03953463785346209,0.032028689955188004,26,0.11546463172311502,0.10781233220005723,5,0.1049132416752185,0.09736986251282775,96,0.060099011193159774,0.05255342639650675,1.3281026070682143,96,0.38735875962681177,9.816793798134059
LON_H1,PULLBACK_DI_A20_G5,1.5,1.0,79,0.04490246282270923,0.03504637643144245,31,0.10610229679306567,0.09443627898229921,4,0.228376126968094,0.21600615234557172,110,0.06214968875980967,0.05178353078668391,1.1891991512776225,110,0.4709410031308872,9.654705015654436
LON_OPEN,DI_CONT_A20_G10,3.0,0.75,70,0.03620470978228463,0.030575248858579082,26,0.34666273226587435,0.3409235076235809,5,0.18925764428990638,0.1836001099181133,96,0.12028709087159017,0.11462790227410043,1.4447211465460938,96,0.3547322610085919,9.65366130504296
LON_OPEN,FALL_CONT_G10,3.0,0.75,70,0.03620470978228463,0.030575248858579082,26,0.34666273226587435,0.3409235076235809,5,0.18925764428990638,0.1836001099181133,96,0.12028709087159017,0.11462790227410043,1.4447211465460938,96,0.3547322610085919,9.65366130504296
LON_OPEN,DI_CONT_A20_G10,2.0,1.5,70,0.03029015761892028,0.0218459662333619,26,0.3659153543751189,0.35730651741167885,5,0.48302739688462076,0.4745410953269313,96,0.1211886484070574,0.11269986551082271,1.2963108269852663,96,0.2967817215793238,9.363908607896619
LON_OPEN,FALL_CONT_G10,2.0,1.5,70,0.03029015761892028,0.0218459662333619,26,0.3659153543751189,0.35730651741167885,5,0.48302739688462076,0.4745410953269313,96,0.1211886484070574,0.11269986551082271,1.2963108269852663,96,0.2967817215793238,9.363908607896619
LON_OPEN,DI_CONT_A20_G10,1.5,1.5,70,0.028719622377340215,0.017460700529929027,26,0.5777205749034824,0.5662421256188955,5,0.47736986251282776,0.46605479376924175,96,0.17740738035317039,0.1660890031581908,1.404804551100903,96,0.2813936817196043,9.286968408598021
LON_OPEN,FALL_CONT_G10,1.5,1.5,70,0.028719622377340215,0.017460700529929027,26,0.5777205749034824,0.5662421256188955,5,0.47736986251282776,0.46605479376924175,96,0.17740738035317039,0.1660890031581908,1.404804551100903,96,0.2813936817196043,9.286968408598021
LON_H1,PULLBACK_DI_A20_G5,1.5,1.5,79,0.03785472546598755,0.027998639074720805,31,0.2602157711899606,0.24854975337919416,4,0.478376126968094,0.46600615234557174,110,0.10052011107910722,0.09015395310598148,1.2460126952512134,110,0.3970237101377971,9.285118550688985
LON_OPEN,DI_CONT_A20_G10,3.0,1.0,70,0.028303281559867895,0.02267382063616234,26,0.2302634929107106,0.22452426826841718,5,0.33925764428990635,0.3336001099181133,96,0.08300083880072111,0.07734165020323135,1.274991852491149,96,0.2773143914720027,9.266571957360014
LON_OPEN,FALL_CONT_G10,3.0,1.0,70,0.028303281559867895,0.02267382063616234,26,0.2302634929107106,0.22452426826841718,5,0.33925764428990635,0.3336001099181133,96,0.08300083880072111,0.07734165020323135,1.274991852491149,96,0.2773143914720027,9.266571957360014
LON_OPEN,DI_CONT_A20_G10,2.5,0.3,70,0.06363215092596375,0.05687679781751703,26,0.08622586085849582,0.07933879128774375,5,0.026421917507696634,0.019632876261544963,96,0.06975128069935788,0.06296025438237011,1.4999999999999998,96,0.2588808636790647,9.174404318395323
