symbol,signal,R,reason
USDCHF,2026-02-11 08:00:00+00:00,0.8211482858323464,time
USDCHF,2026-03-02 08:00:00+00:00,-1.0,SL
USDCHF,2026-03-03 08:00:00+00:00,-0.21066607656561795,time
USDCHF,2026-03-13 08:00:00+00:00,0.7935348167828755,time
USDCHF,2026-03-17 08:00:00+00:00,0.005634369654931772,time
USDCHF,2026-03-18 08:00:00+00:00,-1.0,SL
USDCHF,2026-03-23 08:00:00+00:00,-1.0,SL
USDCHF,2026-03-26 08:00:00+00:00,-1.0,SL
USDCHF,2026-04-08 07:00:00+00:00,-0.5001976128369097,time
USDCHF,2026-04-28 07:00:00+00:00,-1.0,SL
USDCHF,2026-05-07 07:00:00+00:00,-0.254008438818592,time
USDCHF,2026-05-13 07:00:00+00:00,-0.19996894892093584,time
USDCHF,2026-05-18 07:00:00+00:00,-1.0,SL
USDCHF,2026-05-19 07:00:00+00:00,-1.0,SL
USDCHF,2026-05-22 07:00:00+00:00,-0.17067389095834232,time
USDCHF,2026-06-03 07:00:00+00:00,-0.538534471082214,time
USDCHF,2026-06-09 07:00:00+00:00,-1.0,SL
USDCHF,2026-06-18 07:00:00+00:00,2.191158900836332,time
USDCHF,2026-06-23 07:00:00+00:00,0.5214152700185659,time
USDCHF,2026-06-26 07:00:00+00:00,-0.4372594303310159,time
USDCHF,2026-06-29 07:00:00+00:00,-1.0,SL
USDCHF,2026-07-02 07:00:00+00:00,0.05904837221569124,time
USDCHF,2026-07-06 07:00:00+00:00,-1.0,SL
USDCHF,2026-07-09 07:00:00+00:00,0.2488888888888472,time
USDCHF,2026-07-14 07:00:00+00:00,1.465710330942485,time
USDCHF,2026-07-17 07:00:00+00:00,-0.23931623931621432,time
USDCHF,2026-07-27 07:00:00+00:00,-1.0,SL
USDJPY,2026-01-08 08:00:00+00:00,0.036754450734314145,time
USDJPY,2026-01-09 08:00:00+00:00,-0.08438417003730085,time
USDJPY,2026-01-23 08:00:00+00:00,-0.12946106054038886,time
USDJPY,2026-02-09 08:00:00+00:00,0.7488061127029054,time
USDJPY,2026-02-11 08:00:00+00:00,0.6899184452542624,time
USDJPY,2026-02-24 08:00:00+00:00,0.06318758815232958,time
USDJPY,2026-02-25 08:00:00+00:00,0.8713428512310576,time
USDJPY,2026-03-02 08:00:00+00:00,-1.0,SL
USDJPY,2026-03-10 08:00:00+00:00,0.22684373172974492,time
USDJPY,2026-03-13 08:00:00+00:00,-0.016963528413894636,time
USDJPY,2026-03-16 08:00:00+00:00,-1.0,SL
USDJPY,2026-04-08 07:00:00+00:00,-0.3311684883046349,time
USDJPY,2026-05-14 07:00:00+00:00,0.2268944371441497,time
USDJPY,2026-05-26 07:00:00+00:00,-1.0,SL
USDJPY,2026-06-03 07:00:00+00:00,-1.0,SL
USDJPY,2026-06-08 07:00:00+00:00,-1.0,SL
USDJPY,2026-06-17 07:00:00+00:00,-1.0,SL
USDJPY,2026-06-22 07:00:00+00:00,-1.0,SL
USDJPY,2026-06-26 07:00:00+00:00,-0.2764955792858299,time
USDJPY,2026-06-29 07:00:00+00:00,0.13827160493814933,time
USDJPY,2026-06-30 07:00:00+00:00,1.0445374952416329,time
USDJPY,2026-07-02 07:00:00+00:00,-0.43936061006011856,time
