n,ev,pf,wr,totalR,maxDD,annual_freq,ytd2026,pos_years,recent_pf,recent_ev,old_pf,old_ev,day_policy,combo,windows,distance260,quality
3942,0.02847621794451759,1.0719646709448964,0.4667681380010147,112.25325113728834,36.69761883415623,270.85714285714283,150,8,1.1580284216554175,0.06065167141643603,1.0324142641709044,0.012704672942773233,MonThu,LON_OPEN+LON_H2+NY_H1+NY_H2,4,10.857142857142833,True
3617,0.034433053897500246,1.0826057704690832,0.469726292507603,124.5443559472584,27.655246639994736,249.14285714285714,129,11,1.0804448779070397,0.03339210732328404,1.0652434224164784,0.02704143979895883,MonFri,LON_OPEN+LON_H3+NY_H1,3,10.857142857142861,True
3621,-0.012117787203875923,0.9723076513824672,0.4540182270091135,-43.87850746523472,86.80282597855026,248.85714285714286,137,6,0.9266096699800879,-0.03283128509759312,1.0087516757463968,0.0037795610345785343,MonFri,LON_H2+LON_H3+NY_OPEN,3,11.142857142857139,False
3954,0.004705087384581966,1.0118938656564935,0.4635811836115326,18.603915518637095,59.739792615720475,271.35714285714283,155,5,1.0807162000356412,0.03130894135639921,1.0218260133611115,0.008475255379193455,MonThu,LON_H1+LON_H3+NY_OPEN+NY_H2,4,11.357142857142833,True
3953,0.050632140179966284,1.1271924493357413,0.47609410574247407,200.14885013140673,47.18345908740991,271.57142857142856,151,11,1.2736859944901506,0.10299358033965464,1.1233876034470498,0.04820271923529704,MonThu,LON_OPEN+LON_H1+NY_OPEN+NY_H2,4,11.571428571428555,True
3615,0.014220796306046581,1.0332435681016092,0.4605809128630705,51.408178646358394,40.17917373153243,248.28571428571428,139,7,1.0303445013788137,0.012976706919725278,1.0615520669700726,0.025989841905270105,MonFri,LON_H1+LON_H3+NY_OPEN,3,11.714285714285722,True
3610,0.03160982221824792,1.070733342902474,0.4645429362880886,114.11145820787499,42.03161974799583,248.14285714285714,136,10,1.0940622455155014,0.04154716595510725,1.0963627270923844,0.04267857988447572,MonFri,LON_OPEN+LON_H2+NY_OPEN,3,11.857142857142861,True
3963,-0.013828772536851107,0.9655113945835053,0.4595003785011355,-54.803425563540934,87.89203332367047,272.07142857142856,154,7,0.98274493620848,-0.006940037600830009,0.9925588357905208,-0.002922740343221149,MonThu,LON_H2+LON_H3+NY_OPEN+NY_H2,4,12.071428571428555,False
3962,0.031989275378401974,1.0792897589175126,0.4719838465421504,126.74150904922863,42.10945065463739,272.2857142857143,150,11,1.1634974872557928,0.06391268685170982,1.091258680531728,0.03606918668677948,MonThu,LON_OPEN+LON_H2+NY_OPEN+NY_H2,4,12.285714285714278,True
3965,0.02192787891017277,1.056444480622295,0.467843631778058,86.94403987883503,34.623341781951105,272.35714285714283,152,8,1.137864566043435,0.05177225992641596,1.0061643469058643,0.002373026191882951,MonThu,LON_OPEN+LON_H3+NY_H1+NY_H2,4,12.357142857142833,True
3604,0.058101593873326335,1.1329365941357563,0.4711431742508324,209.39814431946812,39.87251830501309,247.57142857142858,138,12,1.2076832844289869,0.08757685948264314,1.1527699814005805,0.06614449425939063,MonFri,LON_OPEN+LON_H1+NY_OPEN,3,12.428571428571416,True
3596,0.00864209942104533,1.0212103927342218,0.45300333704115686,31.07698951807901,67.39483149091987,246.78571428571428,141,8,1.1334021004406702,0.052747378180553126,0.9919636993778493,-0.003259814478216826,MonFri,LON_H1+LON_H2+NY_H2,3,13.214285714285722,True
3985,0.025453525167070345,1.064239621049864,0.4730238393977415,101.43229779077532,53.43887888434892,273.7857142857143,152,8,1.1439034580025285,0.05505995798421027,1.0664585683569132,0.025806745012443868,MonThu,LON_OPEN+LON_H3+NY_OPEN+NY_H2,4,13.785714285714278,True
3577,-0.01178665949130805,0.9719974678825636,0.4528934861615879,-42.16088100040889,68.65929432090982,245.92857142857142,134,8,0.9247446679810378,-0.032608415667687206,0.957448664515953,-0.01784679212095925,MonFri,LON_H2+LON_H3+NY_H1,3,14.071428571428584,False
3571,0.014877010672412273,1.0362010761426608,0.45953514421730607,53.12580511118423,29.182289710661397,245.35714285714286,136,8,1.0330019451294956,0.013646886587885515,1.01148021267854,0.004700684640662779,MonFri,LON_H1+LON_H3+NY_H1,3,14.642857142857139,True
3566,0.0324815156120866,1.0754895272154164,0.4635445877734156,115.8290846727008,30.81422660103101,245.21428571428572,133,11,1.099506207458806,0.04252266150594437,1.0490240459603515,0.021089728930689937,MonFri,LON_OPEN+LON_H2+NY_H1,3,14.785714285714278,True
3560,0.05930218280457694,1.1410934432612827,0.4702247191011236,211.11577078429391,27.90076325710556,244.64285714285714,135,13,1.2185536239666448,0.08900384974205139,1.1070191869014103,0.044938203782907554,MonFri,LON_OPEN+LON_H1+NY_H1,3,15.357142857142861,True
3564,0.01197893023900135,1.0271395702588237,0.4542648709315376,42.692907371800814,43.55816011392546,244.35714285714286,143,10,1.0487803336543458,0.02146921254940885,1.0464885932079413,0.020326139873664578,MonFri,LON_H1+LON_H2+NY_OPEN,3,15.642857142857139,True
4045,0.009075169356929216,1.0238779229599224,0.46526576019777505,36.70906004877868,47.49299651377045,277.14285714285717,165,8,1.0877675351162026,0.032899924207601336,1.0528441464927663,0.019366563902098295,MonThu,LON_H1+NY_OPEN+NY_H1+NY_H2,4,17.142857142857167,True
4054,-0.009052363353083214,0.9765090918987483,0.46127281697089295,-36.698281033399354,69.04200861295479,277.85714285714283,164,7,0.9876645341462361,-0.004798362414285587,1.0219517784669192,0.008145226806972793,MonThu,LON_H2+NY_OPEN+NY_H1+NY_H2,4,17.857142857142833,False
3520,0.012616628930859837,1.0297219999691807,0.453125,44.41053383662663,36.51540856243912,241.42857142857142,140,10,1.052247635950794,0.022243350964795582,0.9971483479156696,-0.0012111884231858785,MonFri,LON_H1+LON_H2+NY_H1,3,18.571428571428584,True
4077,-0.015209097937663155,0.9598069396068354,0.4623497669855286,-62.007492291852685,86.77233630716829,279.35714285714283,166,5,0.9667926106366871,-0.01265115424533879,0.9957483450553767,-0.0015497754194884375,MonThu,LON_H3+NY_OPEN+NY_H1+NY_H2,4,19.357142857142833,False
4076,0.02932714482848795,1.0770130449847757,0.4744847890088322,119.5374423209169,33.67232685369312,279.57142857142856,162,10,1.1523525318252716,0.056310714893990754,1.0995993132745099,0.036461925755766025,MonThu,LON_OPEN+NY_OPEN+NY_H1+NY_H2,4,19.571428571428555,True
3469,0.026385964792649125,1.0577197925373225,0.4571922744306717,91.53291186569982,53.52140520507557,239.21428571428572,120,10,1.1075722942052437,0.04798732370077823,1.0295665709131852,0.013752670872893991,MonFri,LON_OPEN+LON_H2+LON_H3,3,20.785714285714278,True
