dt,day,R,R_comm,R_stress,setup,priority
2013-05-08 07:00:00+00:00,2013-05-08,-1.0,-1.0137580212808943,-1.0206370319213414,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-05-13 06:00:00+00:00,2013-05-13,0.6,0.5907870397184035,0.5861805595776053,BASE,0
2013-05-15 06:00:00+00:00,2013-05-15,0.5394428311164383,0.5292164267350843,0.5241032245444073,BASE,0
2013-05-21 06:00:00+00:00,2013-05-21,-1.0,-1.0115815160098103,-1.0173722740147155,BASE,0
2013-05-27 07:00:00+00:00,2013-05-27,-0.37893782886281974,-0.39096760120767293,-0.3969824873800995,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-05-28 06:00:00+00:00,2013-05-28,-1.0,-1.0126145376404352,-1.018921806460653,BASE,0
2013-06-03 06:00:00+00:00,2013-06-03,-1.0,-1.0100121439003242,-1.0150182158504863,BASE,0
2013-06-04 06:00:00+00:00,2013-06-04,0.6,0.5910137259213928,0.5865205888820892,BASE,0
2013-06-05 06:00:00+00:00,2013-06-05,-1.0,-1.0109187232571295,-1.0163780848856943,BASE,0
2013-06-06 06:00:00+00:00,2013-06-06,-1.0,-1.0113724821007308,-1.0170587231510964,BASE,0
2013-06-10 07:00:00+00:00,2013-06-10,0.9675930953198395,0.9588167407137639,0.9544285634107261,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-06-11 08:00:00+00:00,2013-06-11,0.3,0.2882874106836761,0.28243111602551413,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-06-12 07:00:00+00:00,2013-06-12,-1.0,-1.0100621566013732,-1.0150932349020598,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-06-13 07:00:00+00:00,2013-06-13,-0.39738622886853375,-0.40662776907477904,-0.41124853917790166,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-06-17 07:00:00+00:00,2013-06-17,1.013425031193232,1.0009521077323922,0.9947156460019722,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-06-20 06:00:00+00:00,2013-06-20,1.5,1.4913037458237515,1.4869556187356274,BASE,0
2013-06-24 06:00:00+00:00,2013-06-24,-1.0,-1.0095154762863934,-1.01427321442959,BASE,0
2013-06-26 08:00:00+00:00,2013-06-26,0.3,0.2889564392688429,0.28343465890326436,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-07-02 08:00:00+00:00,2013-07-02,0.3,0.2870800349283319,0.2806200523924978,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-07-16 06:00:00+00:00,2013-07-16,-1.0,-1.0104712525858945,-1.015706878878842,BASE,0
2013-07-22 06:00:00+00:00,2013-07-22,0.6,0.5878368992950205,0.5817553489425307,BASE,0
2013-07-23 06:00:00+00:00,2013-07-23,0.6,0.5864291005053142,0.5796436507579712,BASE,0
2013-07-25 08:00:00+00:00,2013-07-25,0.3,0.28857657086574057,0.28286485629861086,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-08-01 07:00:00+00:00,2013-08-01,0.6851111382647931,0.6759150156035213,0.6713169542728854,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-08-06 06:00:00+00:00,2013-08-06,1.5,1.4853507575967806,1.4780261363951708,BASE,0
2013-08-08 06:00:00+00:00,2013-08-08,1.5,1.4865417771050131,1.4798126656575197,BASE,0
2013-08-12 07:00:00+00:00,2013-08-12,-0.06334578480502784,-0.07825067534738703,-0.08570312061856661,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-08-13 06:00:00+00:00,2013-08-13,0.6,0.5838611696634787,0.575791754495218,BASE,0
