slot1,slot2,period,cost_model,trades_used,payouts,breaches,accounts_used,user_paid,account_costs,net_cash,avg_payout,payout_before_breach_rate,resolved_accounts,successful_accounts,avg_first_payout_days,median_first_payout_days,first_portfolio_payout_date,first_portfolio_payout_days,median_gap_days,slot1_used,slot2_used
LON_H2,NY_H2,YTD_2026,COMMISSION,199,4,9,11,12503.434791148838,6039.0,6464.4347911488385,3125.8586977872096,0.3,10,3,56.0,46.0,2026-03-18,76,17.0,93,106
LON_H2,NY_H2,YTD_2026,COMM_PLUS_0P2,199,4,10,12,12896.68918549635,6588.0,6308.689185496351,3224.1722963740876,0.2727272727272727,11,3,26.666666666666668,16.0,2026-03-18,76,34.0,93,106
NY_OPEN,NY_H1,FULL_2012_2026,COMMISSION,5158,183,317,319,564045.5849112625,175131.0,388914.5849112625,3082.2163109905055,0.45425867507886436,317,144,28.083333333333332,21.0,2012-01-16,15,20.0,2744,2414
NY_OPEN,NY_H1,FULL_2012_2026,COMM_PLUS_0P2,5158,181,325,327,538491.4784319133,179523.0,358968.4784319133,2975.0910410602946,0.4523076923076923,325,147,28.653061224489797,22.0,2012-01-16,15,22.0,2744,2414
NY_OPEN,NY_H1,YTD_2026,COMMISSION,213,7,17,19,22204.619473391525,10431.0,11773.619473391525,3172.0884961987895,0.29411764705882354,17,5,17.4,18.0,2026-02-23,53,18.0,110,103
NY_OPEN,NY_H1,YTD_2026,COMM_PLUS_0P2,213,7,17,19,21777.255770129268,10431.0,11346.255770129268,3111.0365385898954,0.29411764705882354,17,5,17.8,20.0,2026-02-25,55,18.0,110,103
NY_OPEN,NY_H2,FULL_2012_2026,COMMISSION,5330,200,329,331,636175.0489239579,181719.0,454456.04892395786,3180.875244619789,0.45454545454545453,330,150,27.26,21.0,2012-02-08,38,19.0,2744,2586
NY_OPEN,NY_H2,FULL_2012_2026,COMM_PLUS_0P2,5330,195,339,341,610016.7530559676,187209.0,422807.7530559676,3128.2910413126547,0.43823529411764706,340,149,24.40268456375839,19.0,2012-02-08,38,19.0,2744,2586
NY_OPEN,NY_H2,YTD_2026,COMMISSION,216,6,13,15,18283.23274907867,8235.0,10048.23274907867,3047.2054581797784,0.35714285714285715,14,5,30.8,24.0,2026-03-16,74,21.0,110,106
NY_OPEN,NY_H2,YTD_2026,COMM_PLUS_0P2,216,6,14,16,19252.86198787894,8784.0,10468.86198787894,3208.8103313131564,0.3333333333333333,15,5,19.8,19.0,2026-03-16,74,21.0,110,106
NY_H1,NY_H2,FULL_2012_2026,COMMISSION,5000,218,292,294,678525.4893424441,161406.0,517119.4893424441,3112.5022446901107,0.5513698630136986,292,161,28.937888198757765,24.0,2012-01-17,16,18.0,2414,2586
NY_H1,NY_H2,FULL_2012_2026,COMM_PLUS_0P2,5000,212,295,297,649867.6728089587,163053.0,486814.6728089587,3065.413550985654,0.5457627118644067,295,161,28.217391304347824,22.0,2012-01-17,16,19.0,2414,2586
NY_H1,NY_H2,YTD_2026,COMMISSION,209,5,11,13,14687.084480302721,7137.0,7550.084480302721,2937.4168960605443,0.36363636363636365,11,4,38.75,33.0,2026-01-21,20,23.0,103,106
NY_H1,NY_H2,YTD_2026,COMM_PLUS_0P2,209,5,11,13,14531.625334073895,7137.0,7394.625334073895,2906.325066814779,0.45454545454545453,11,5,39.2,36.0,2026-01-21,20,35.5,103,106
